Word,Description
Ngaina (adj),"to be fond of, to like, to set great store by"
Ngaina hrie (adj),to know how
Ngaina reng hre lo (v),"to not know what to do, to be in a fix, to be at a loss, to be in suspense"
Ngaina reng hre loa siem (v),"to put in a fix, to hold in suspense"
Ngainatum (adj),"likeable, loveable, desirable, admirable"
Ngainep (v),"to despise, to contempt"
Ngaingam (adj),"to be at peace, without worry"
Ngainuom (adj),"interesting, pleasant to hear, willing to hear"
Ngainuom um (n),anything pleasant to hear (a nice story)
Ngairuk (v),"to eavesdrop, to secretly listen someone else’ conversation"
Ngairuong (n),"elephant grass, name of a variety of wild-big grass"
Ngairuot (v),"to calculate, to guess, to reckon, to put on one side for a set purpose"
Ngairuotna (n),"a guess, estimation, imagination"
Ngairuotnain (adv),"according to calculation, reckoning, or guess"
Ngaisak (v),"to regard, to have respect to or for, to heed, to care about, to care for, to show respect to or for"
Ngaisak lo (v),to disregard
Ngaisam (adj),"heedless, careless, taking things lightly"
Ngaisang (adj),"to give respect, to regard; to be interested in, to take interest in"
Ngaisang tlak (adv),worth respecting
Ngaisang um (n),respectable
Ngaitak (n),beloved
Ngaite (n),a Hmar Zote sub clan
Ngaitha (adj),"neglect, not attentive, not taking care of, not giving attention to"
Ngaithiem (v),"to understand, to comprehend"
Ngaithiem lo (v),"to misunderstand, to resent at"
Ngaithla (v),"to listen, to give heed to, to hark"
Ngaithlak (v),"to listen, to give heed to, to eavesdrop"
Ngaituo (v),"to consider, to ponder, to be anxious"
Ngaituo zing (v),"to remember, to keep in mind"
Ngaituona (n),"thoughts, consideration"
Ngaituopui (v),"to advice, to ponder over with"
Ngaium (adj),"likeable, pleasant, remembering, worth missing"
Ngaiven (v),"to watch, to keep guard over, to look after, to listen to"
Ngaizawng (n),"one’s lover, girlfriend, boyfriend"
Ngak (v),"bark, a dog’s bark"
Ngakara (n),name of a variety of fish
Ngakhing (n),name of a variety of fish
Ngakhuoi (n),name of a variety of fish
Ngakulram (n),name of a variety of fish
Ngakuoi (n),a fish-hook (v) fishing
Ngakuoi kam (v),angling; to fish with fishing rod and hook
Ngakuoi ngul (n),a fishing rod
Ngal (n),the shin
Ngal hrat (adj),"brisk in walking, fast walking, present everywhere"
Ngal kuol (n),bowlegged
Ngal ru (n),"the tibia, the shin bone"
Ngal sok (v),a contrivance made by boys to hit people on the leg as they walk along the path
Ngalchar (n),the centre and thin-skin portion of the shin
Ngaler (n),name of a variety of fish
Ngalha (n),name of a species of palm tree
Ngalim (n),the name of a variety of small fish
Ngalpui (n),the name of a stinging bee
Ngalrang (n),the name of stinging bee
Ngalungbet (n),name of a variety of fish
Ngalzem (n),a pad woven around the shin for protection
Ngam (v),"brave, daring, tame, to be brave, to dare, to gain a victory, to be prepared to do a thing, to be not afraid of"
Ngam (adj),"tamed, domesticated"
Ngameihol (n),name of a variety of fish
Ngameisui (n),name of a variety of fish
Ngami (n),a species of large cat-fish
Ngamit (n),"a wart, a kind of troublesome lump or hard swelling which forms round an extracted thorn in hand or foot"
Ngamitpawng (n),name of a variety of fish
Ngamlai (n),a Hmar Biete sub clan
Ngampa takin (adv),"fearlessly, confidently, boldly"
Ngamthlem (v),"to deal craftily with, to use stratagem, to lure"
Ngamthlemna (n),evil tricks
Ngamtu (n),"a conqueror, a victor"
Ngán (n),a form of cooking chicken in a Hmar house
Nganal (n),the golden fish
Ngangiei (n),name of fish with long whisker
Ngangui (n),name of a variety of fish
Nganul (n),name of a variety of fish
Nganza (n),"a shrub like plant use or misused as drug, cannabis, marijuana"
Nganza hawp (v),to smoke ‘nganza’
Nganza inrui (v),to get intoxicated with ‘nganza’
Ngap (adj),"gritty, coarse, grainy, etc"
Ngaphek (n),name of a variety of fish
Ngaphu (n),"name of a variety of fish, the mahseer fish"
Ngaphul (n),a large spawning fish
Ngapui (n),the whale
Ngapui thau (n),cod liver oil
Ngapurum (n),name of variety of cat fish
Ngar (adj),"stiff, sturdy, not fragile"
Ngar (adv),"an affix denoting continuity, continually, without a break, still"
Ngarili (n),name of a variety of fish
Ngarkhuo (v),"to give crepe bandage, to crepe bandage"
Ngarûl (n),"name of a variety of fish, an eel"
Ngasanghal (n),"name of a variety of fish, the golden fish"
Ngasarbal (n),name of a variety of fish
Ngasen (n),name of a variety of fish
Ngat (adj),specific
Ngatesi (n),name of a variety of small fish
Ngathal (n),wild elephant grass
Ngathu (n),fermented fish
Ngatlau (n),name of a variety of fish
Ngatun (n),name of a variety of fish
Ngau (n),"a baboon, a grey monkey"
Ngaulawng (n),tadpole
Ngautrawk (n),toad
Ngavaibe (n),name of a variety of fish
Ngavok (n),"name of a variety of fish, the cat fish"
Ngaw (v),"virgin forest, thick jungle"
Ngawi (n),a fish trap
Ngawi ngawi (adv),expression of extremity
Ngawichawi (adj),"morose, quiet (in disposition or through sickness)"
Ngawihnemthing (n),a variety of wild tree
Ngawihup (n),a black kite
Ngawn (n),the trunk (of an elephant)
Ngawpui (v),"big virgin forest, big and thick virgin forest"
Ngawr (v),to cut a branch of a tree
Ngazangsa (n),name of a variety of fish
Nge (n),a maggot
Ngei (adj),"sharp (not blunt); self, myself, yourself"
Ngei (adv),"really, certainly"
Ngei (adj),"to be acclimatized, to agree with, which is matching and growth oriented to the mind and body"
Ngei annawm (adv),an emphatic verbal particle
Ngei kha tie (adv),an emphatic verbal particle
Ngei ngei (adv),"without fail, certainly, surely"
Ngen (v),"to ask for, to demand, to ask"
Ngen chiem (v),to beseech
Ngeng (adj),"arrogant, haughty, insolent, great and then rude and unmannerly"
Ngenna (n),"prayer, petition, request"
Ngente (n),a Hmar clan
Ngha (v),to turn (as head or body)
Nghai (v),"to be in contact with, to knock or lean against, to touch, to depend upon"
Nghaisa (v),"to destroy wilfully, to torture, to ill-treat, to mutilate, to handle, to work at"
Nghaisan (v),"to lean on, something on which one leans"
Nghaisat (v),"to assault, to lay hands upon"
Nghak (v),to wait
Nghakhla (v),"to be impatient, to be eager"
Nghakhla takin (adv),eagerly
Nghakir (v),to turn back
Nghaknu (n),poetical term for ‘nunghak’ or unmarried young lady
Nghaktu (n),"caretaker, one who waits and looks after"
Nghal (adv),"immediately, straightway, while about it"
Nghal (adj),"playful, mischievous, ill-behaved"
Nghalchang (n),the mature male wild boar considered to be one of the fiercest wild animals
Ngharek (adj),"rust, rusted"
Nghat (n),"to put down, to rest upon"
Nghatsan (v),to turn away from someone
Nghawk (adj),fed up
Nghawng (n),the neck of a four-legged animals (always reserved to be given to the maternal grandfather or uncles of the one who kills the animal)
Nghawngor (n),necktie
Nghawr (v),"to shake, to stir"
Nghei (v),"to fast, to go without"
Nghei (adv),"rather, fairly"
Nghei (v),to demand
Ngheiterep (n),side of the head around the ears
Nghet (adj),"firm, rigid, prosperous, stable, to be firm, etc."
Nghet lo (adj),"loose, unstable, to be loose, etc"
Nghil (v),forget
Nghillo (v),remember
Ngho (n),"a tusk, a tooth"
Nghok (adj),to be tired of
Nghokum (adj),"tiresome, fatiguing"
Nghong (adj),"reverberate, aftershock"
Nghor (v),"to shake, to boil galloping"
Ngiet (v),"demand, asked for"
Ngieu (n),name of tree
Ngieu natna (n),"sickness, pain, illness, ailment"
Ngilnei (adj),"kind, thoughtful, considerate, unselfish"
Ngilneina (n),"benevolence, kindness, mercy"
Ngir (v),"to stand, to be upright, to stop"
Ngir huol (v),"to stand round in circle, to surround"
Ngir tlun (v),"to stand upright, to stand straight, to stand at attention"
Ngirhmun (adj),one’s stated position
Ngo (adj),"white, fair, of a light colour, to be white"
Ngoi (adj),"numb feeling, numbness"
Ngong (adj),"slow of understanding, dull, stupid"
Ngor (n),tuberculosis
Ngor (adv),to keep on at continuously
Ngoteker (n),a Hmar traditional shawl worn by both men and women
Ngotlong (n),a Hmar traditional shawl
Ngûi (adj),"listless, quiet, silent, downhearted, sad, miserable, to be listless"
Ngûk (adv),"regularly, seriously"
Ngûk (adv),"to be continuous, regular in one’s mission or job or work"
Ngul (n),"the barrel (of a gun), a rod"
Ngulthuom (n),a Hmar Changsan sub clan
Ngûm (n),"the lower end of the spine, the hind back"
Ngûm ru (n),the sacrum
Ngun (adv),to be regular
Nguntakin (adv),"carefully, assiduously, steadily, thoroughly"
Ngup (adj),"tee-total, sombre, sober, not smiling"
Ngûr (n),"poetical term for chief, king"
Ngurchuoi (adj),"slow, not fast"
Ngurte (n),a Hmar clan
Ngût (adv),"only, really (negative)"
Ni (n),"the sun, day"
Ni (n),"a paternal aunt, one’s father’s sisters"
Ni (n),"to be, to become, yes"
Ni awk lem (n),a solar eclipse
Ni e (adv),"really yes, very much"
Ni eng (n),"sunlight, sunshine"
Ni khat (n),one day
Ni khat ban phak (phrase),a distance that can be covered in one day
Ni khat lam (adv),one day's journey by foot
Ni khat thil thu (adv),"a matter of day, in a matter of a single day"
Ni le thla kara leng (phrase),one who is above the common people
Ni lo (adv),"no, nay"
Ni lo lo (adj),wrong
Ni lum (n),sunshine
Ni mei a tih (phrase),it may be
Ni mei mei ta raw se (phrase),let it be (after much deliberation)
Ni naw ni (adv),"it will not be, of course not"
Ni naw tieng (n),the wrong way
Ni naw zawngin (adv),"in the wrong way, the other way round"
Ni ni ni (v),"to be what it or one is to be, to happen what may"
Ni raw se (adv),"ok, of course yes, let it be"
Ni rawi naw ni’m (phrase),"may be, it may be"
Ni sari (n),a week
Ni sawt naw teah (adv),in a few days’ time
Ni tin (adj),everyday
Ni tla (n),sun set
Ni tla seng lo rama lal (phrase),a phrase often used to describe the British emperor literally meaning that ‘the sun never set on the empire’
Ni zawnin (adj),day after day
Ni zung (n),sun ray
Niah (adv),on the day
Nibik (n),an important date or occasion
Nihlaw (v),"to be fortunate, to be lucky"
Nihlaw (adj),"fortunate, privileged, lucky"
Nihliep (n),"a sunshade, an umbrella"
Nihliep khum (v),"to hold an umbrella, to use an umbrella"
Nikhuo (n),consciousness
Nikhuo hre lo (v),to be unconscious
Nikinni (n),the last day
Nikum (n),last year
Nikum hmasa (adv),the year before last
Nilaini (n),Wednesday
Nîm (n),the neem plant
Nina (n),status
Ning a ti (phrase),it may be
Ningani (n),Thursday
Ningindiek (v),to detest (for eating)
Ninginip (adj),not free mentally
Ninginnuor (v),"to grumble, grouse, to sulk"
Ningintel (v),"to be bored, fed up, uninterested, jaded"
Ningkhong (n),"habits, ways"
Ningkhong hre lo (v),"to be unsophisticated, to be ignorant of the mode of life, thought, habit, ways"
Ningtel (adj),"bored, jaded"
Nipui (n),"the summer, the hot weather"
Nipui par (n),the name of a creeper with scarlet flowers
Nisa (n),"sun, sunshine"
Nisa inrui (v),to get sunstroke
Nisa lum awi (v),"to warm oneself under sun ray, sunbath"
Nisa sen veng vung hnuoiah (adv),"under the blazing sunshine, in the scorching heat of summer (usually referring to how one use to work in the jhumfield)"
Nisa suok (v),sun rise
Nisa tla (v),sunset
Nisa zang puok (v),to sit with one’s back towards the sun and feel the heat (winter morning)
Nisa zang puok (v),to have the heat of the sun on one’s back
Niserh (n),a holiday
Nisienlakhawm (conj),"nevertheless, yet, still, but, notwithstanding"
Nisum (n),a portion of a bride price given to the girl’s father’s sister
Nisuok (v),"sunrise, to rise (as the sun)"
Niukliar (n),nuclear
Niuspepar (n),newspaper
No (n),"a cup, a vase, a jug"
No (adj),"soft, tender"
Nok (v),shake
Nomna (v),"to be careless, slipshod or negligent"
Non (v),"repeat, to do or say anything over and over again, again and again, over and over"
Non nawk (adv),repeat again
Nong (n),"the secondary items of a curry, the leftovers of food"
Nongmangkha (n),a variety of thorny edible shrub found abundance in Manipur valley
Nopui (n),"a big cup, a trophy, a shield"
Nor (v),"to butt, to push"
Nu (n),"a mother, a maternal aunt, a paternal uncle's wife, a husband's mother, a female, a feminine affix"
Nu chanchang (v),"to act as a mother, to take the place of a mother"
Nu le nau (n),"wife and children, family"
Nu le pa (n),parents
Nu nei lo (adj),motherless
Nuchak invoi (v),a baby in need of adequate mother’s milk
Nufa (n),mother and child
Nuha (n),a situation of weakness or feeling of dizziness experience by a young baby as the mother is about to bear a child again; the situation experience by a young man after hearing that he is impregnating a woman
Nuhmei (n),"woman, wife"
Nuhmei hnam (n),a strip made of split bamboo or cane used by woman for carrying load in a paikawng or basket
Nuhmei huol (v),betrothed or engaged with a girl
Nuhmei naupang (n),a girl
Nuhmei nei (v),"to marry, to be married"
Nuhmei zam (v),a woman escaping to her father or brother’s house due to disagreement with the husband or husband’s family
Nuhmeite (n),a baby girl
Nuhnung (adj),last
Nuhnungtak (adv),the very last
Nuhron (n),a stepmother
Nui (v),smile
Nui hmel (n),a smiling face
Nui inza (v),to feel like laughing
Nuisan (v),"to laugh at, to mock, to scoff at"
Nuiza siem (v),cracking jokes
Nuiza siem thiem (n),"a comedian, joker, a clown, a jester, one who is good in making jokes"
Nuizat (v),jokes
Nuizat thlak (v),"to be funny, to be ridiculous"
Nuizatbûr (n),one who is being laughed at
Nuizatum (adj),"ridiculous, funny, laughable"
Nulam (n),a man’s brother in-law who married his wife’s sister; men whose wives are sisters
Nun (n),"life, living"
Nun dan (n),"life, mode or manner of life"
Nun dan pangngai (n),normalcy
Nunau (n),women and children
Nungate (n),a Hmar Lungtau sub clan
Nungcha (n),living creatures
Nungchang (n),"nature, character, mode of life, disposition, habit"
Nungchang tha (adj),"good natured, good mannered"
Nunghak (n),"a maiden, a young woman"
Nunghak leng (v),a very common and rather institutionalised way of approaching and wooing a girl by a boy wherein the boy goes to the girl’s house usually in the night
Nunghak ngai (v),to commit fornication or have illicit sexual relation with an unmarried woman
Nunghak thienglam (n),a virgin lady
Nunhlui (adv),past life
Nunkhaw pham (v),to enjoy life in reckless manner
Nunkhawnuom (adj),happy moment
Nunnem (adj),to be good-tempered
Nunnghok (v),to be tired of life
Nunrawng (v),"offensive, ill-mannered, ruthless, pitiless"
Nunsie (v),"to be cruel, vicious, bad, to be cruel, etc"
Nuntawi (adj),short-lived
Nuoi (n),"one lakh, one hundred thousand"
Nuoi (v),"to brush, to rub, to blow about violently"
Nuoinawk (n),the name of a plant with edible leaves; name of a colour
Nuoithang (n),name of flowering plant
Nuom (v),"willing, wish, want"
Nuom lo (v),"reluctant, not willing"
Nuom nuom (adv),one’s wish and whims
Nuom nuomin (adv),"just as one wishes, just as one please"
Nuom thu in (adv),according to one’s wishes
Nuomchen (v),"to enjoy pleasure, to revel"
Nuomsip bawl (v),to enjoy pleasure
Nuor (v),"sulk, to be displeased, disgruntled"
Nupa (n),"husband and wife, a married couple"
Nupa trangthre (n),separation of husband and wife by death – thought to be the most difficult death to comprehend with
Nupui (n),"a woman who have had a child, a wife, a mother’s elder sister"
Nuthai (n),poetical word for ‘wife’
Nuthlawi (n),a young woman either divorced or widowed (opposite gender of ‘pathlawi’)
Nutling (n),"a full-grown female, to arrive at the age of puberty"
Nuvanglai (n),a middle-aged married woman
Nuvuoi (interjn),an exclamation citing ‘mother’
Ofis (n),office
Ofisar (n),officer
Oksizen (n),
Oktawpus (n),octopus
Ol (adj),easy
Olai (adj),easy
Oliv (n),olive
Olsam (adj),easy
Ong (n),"crop of fowl (chicken, duck, birds)"
Ongrop (adj),"weak, worn out (as house, man) etc"
Op (v),"to brood over, to sit (as a fowl), to govern, to rule"
Op keu (adv),to successfully brood (hen)
Opiam (n),opium
Optlei (v),"to bring up (as a child), to rear"
Optu (n),"a ruler, a governor"
Or (n),the throat (outside)
Or (v),putting something on the neck as necklace
Or puor (n),a goitre
Orbawk (n),goitre
Ot (v),to sit down and partake (food)
Pa (n),"a father, a husband's father, a male, a masculine affix; mushroom, a fungus"
Pa (adj),"unit (pa, sawm, za, sang = unit, ten, hundredth, thousand)"
Pa chan chang (v),to act as the father or head of the house
Pa nei lo (adj),fatherless
Paarasi (n),the name of a variety of mushroom
Paardang (n),the name of a variety of mushroom
Pachang (n),the name of a variety of mushroom
Pachokchawnor (n),the name of a variety of mushroom
Pafa (n),father and child
Pahmei (n),a family of just husband and wife or with young children in which only the husband is able to work
Pahnachang (n),name of a variety of mushroom
Pahnaiput (n),name of a variety of mushroom
Pahnakhar (n),the name of a variety of mushroom
Pahnam (n),clan or sub-clan
Pahni (adj),two
Pahnina (adj),second
Pahron (n),a stepfather
Pai (v),to put in one’s pocket or bag
Pai (v),to hang (the strap of) a bag on one’s shoulder
Pai (v),"to conceive, to have in one's inside or below the skin, to digest"
Pai (adj),"stagger, stagger walk, walk not in an upright manner"
Pai (adj),"not fluent (in talks, conversation)"
Paijama (n),a Hindi originated term for loose pants
Paikawng (n),the name of a basket
Painar (n),pioneer; road construction worker of the 1980s and 1990s
Painthlung (n),the name of an edible fungus
Paiper (n),the name of a basket usually strapped around the waist
Paisa (n),a paise
Paisa dere (n),a 3 pie (money)
Paite (n),the name of a tribe
Pajamte (n),a Hmar Khawbung sub clan
Pak (v),to inhale (cigarette)
Paka (adj),a Hindi originated term for solid (structure) or document
Paka patta (n),a Hindi originated term for land documents of the highest value
Pakai (v),to go over to the side of another
Pakai san (adv),to desert in order to join another; to join another party after deserting one's own
Pakhangbun (n),the name of a variety of mushroom
Pakhat (adj),one
Pakhat char (adj),"just one, only one"
Pakhat khatin (adv),one by one
Pakhat khom (prn),"none, not even one, not a single one"
Pakhatna (adj),first
Pakhatte (n),a man who lives alone
Pakhumate (n),a Hmar Thiek sub clan
Pakhuong (n),a Hmar clan
Pakuo (adj),nine
Pakuona (adj),ninth
Pal (v),"to wade a stream, to wade a water body"
Pal (adv),"unintentional, accidental"
Palai (n),"an ambassador, an emissary, a go between"
Palai bawngte (n),"a ‘love letter’, middleman in love affairs between young men and young women"
Palai tir (v),"to send an ambassador (the term is mostly used when a boy’s family sent their ‘mak/makpa’ to a girl’s family for marriage proposal – in good times. And in bad times, when a family sent someone, usually again, their ‘mak/makpa’ to another family to resolves some disputes. The ‘palais’ usually go with a pot of wine in the past, and tea in the present days)"
Palak (n),"spinach, a variety of mustard"
Palang (n),a glass bottle
Palên (n),a variety of non-edible mushroom with unbearable pungent smell
Pali (adj),four
Palina (adj),fourth
Paluong (n),a species of edible fungus
Pâm (adj),"sorry to let it go, that is being missed, regrettable, regretful"
Pamchap (n),see ‘chapchar’
Pâmhmai (n),"sorry to loss, to be a waste"
Pamrorel (n),a general assembly of all heads of family of a Hmar traditional village in the beginning of a year to discuss and select jhum site or any other relevant issues
Pâmthrul (v),"to leave without finishing, abandoning it, to leave unfinished or incomplete"
Pan (v),"to approach, to make for, to steer for, go towards"
Pân (n),"a sore, a wound"
Pang (adj),"the body, the flank, the side (of a mountain, etc)"
Pâng (n),name of thorny species of tree with cotton like buds that grows on steep slope and cliffy areas and often refer to as a by product of disobedience
Pang inza (v),to be scare or afraid (to the point of a tickling skin)
Pang khing (n),one side (of a body)
Panga (n),five
Pangal (n),the term used to refer to the Muslims of Manipur which again is derived from Bengal or Bangal
Pangamte (n),a Hmar Khawbung sub clan
Pangana (adj),fifth
Pangchang (adj),"bold, brave"
Pangchang takin (adv),"boldly, bravely"
Pangchar (v),puncture (of vehicle or cycle tyre)
Panghak (n),a portion of a bride price given to the kinsmen of the girl’s father
Pangkai (n),name of edible wild plant
Pangkai (n),name of a wild tree with edible fruit
Panglai (n),while one is ‘naupang’ or child
Pangngai (adj),the same
Pangngai lo (adj),"not same; a half crack, one who is slightly below normal person"
Pangote (n),a sub clan under Hmar Thiek Vankal
Pàngpal (adj),"accidental, unintentional (adv), accidentally, unintentionally, by chance"
Pângpar (n),"fins (of fish), etc"
Pangpat (n),a kind of cotton yielded by the tree
Pangrem (n),the name of a large hairy caterpillar
Pangti (n),"the skin, substance, form"
Pangti nam (adj),smooth skin
Pangulte (n),a sub clan under Hmar Thiek Vankal
Pangzatum (adj),"bone chilling, scary or frightening (which even make the skin to get tickle)"
Pânin bawm (adv),to have many wounds and scars on the body
Panna (n),"sore, ulcer, injury, etc"
Panna huoisuol (n),an infected carbuncle or inflamed sore
Panna in bawm (adj),to have multiple scar or sore in the body
Panna khir (n),scab
Panruong (n),"a species of edible creeping plant, a betel leaf"
Pansak (n),the upper or higher side (of a house on a hill side)
Pansak-panthlang (n),neighbours
Pansakhai (n),those living in the upper side of one’s house
Pansie (n),inflamed wounds
Pantha (n),a variety of wild strawberry fruit
Panthlang (n),the lower side (of a house on a hill side)
Panthlanghai (n),those living in the lower side of one’s house
Pâp (n),a negative repercussion
Papal (n),a species of edible fungus
Papar (n),a species of edible fungus
Papek (v),to look to exclusively (to do anything)
Papui (n),"a married man, one’s father’s elder brothers"
Papuitebob (n),a middle-aged married man
Par (v),"to open up (as a flower, etc), to spread out (one’s wing)"
Pâr (n),"a flower, a blossom"
Par tlan (v),"to enjoy a happy situation, to frolic"
Par zu (n),"nectar, honey (in the flower)"
Paradis (n),paradise
Parate (n),a Hmar Zote sub clan
Parawmau (n),the name of a variety of mushroom
Parbawr (n),cauliflower
Parbawr hring (n),broccoli
Parda (n),a curtain (originated from Hindi term of ‘purdah’)
Pareng (n),father and sons
Pariet (adj),eight
Parietna (n),eighth
Parking (n),parking
Parlak (v),to harvest by cutting off the ears of grain and leaving the stalks standing
Pârnêm (n),name of a variety of weed with soft flower
Parol (n),a divorced man or a widower or an old bachelor or a man living all alone away from his family
Parsel (n),parcel
Parsen (n),percent
Parte (n),a flower; a poetic word for girlfriend
Parthri (n),a garland of flowers
Parti (n),party
Paruk (adj),six
Parukna (adj),sixth
Paruomau (n),the name of a variety of mushroom
Parva (n),a pigeon
Pasainakawr (n),a variety of wild mushroom
Pasainam (n),a variety of wild mushroom
Pasal (n),"a male, a man, a husband, one’s husband"
Pasal nei (v),"to marry a man, to have a husband"
Pasaltakaza (n),a variety of wild tree
Pasalte (n),a young boy
Pasaltha puon (n),shawl of the warrior
Pasalthra (n),"a brave man, a warrior, valiant"
Pasari (adj),seven
Pasarina (adj),seventh
Pasawnthlung (n),name of a variety of edible mushroom
Pasie (adj),"poor, badly off (n) a poor person"
Pasiet kum (n),year of poor harvest
Pasiet kum tiem (adv),"counting years like a poor man (a poor man always expects the next year to be better for him. Hence, the phrase)"
Pasietna (n),poverty
Pasisaw (n),the name of a variety of mushroom
Pastor (n),pastor
Pat (n),"moss, cotton, yarn"
Pat duong (n),a hank of cotton yarn
Pat hlum (n),a reel or ball of cotton
Pat inchawn (v),one of the important steps of indigenous Hmar cotton reeling process
Pat inding (v),to chaffing of raw cotton
Pat inhlum (v),reeling cotton
Pat inhlumna (n),a cotton winding machine (see ‘suthlam’)
Patchawn (n),rolled cotton ready for spinning
Patchawnpuon (n),name of a particular cotton shawl
Pate (n),"uncle, one’s father’s younger brothers"
Pathien (n),"God, the Giver and Preserver of life"
Pathien biek (v),to worship God
Pathien biekbuk (n),"church, chapel, house of God"
Pathien hla (n),"a sacred song, a gospel hymn"
Pathien lekhabu inthieng (n),the Holy Bible
Pathien mi (n),a Godly man
Pathien samsui (adj),"a term used to refer to a marriage ordained by God, a wedlock appointed by God"
Pathien thu (n),God’s word
Pathien thuawi (n),those who obey God’s word (it is for the first time used to refer the new Christian converts)
Pathienni (n),Sunday
Pathienpasaihlum (n),"a variety of insect, moth"
Pathlawi (n),"a young widower, a divorcee man (opposite gender of ‘nuthlawi’)"
Pathum (adj),three
Pathumna (adj),third
Pathur (n),the name of an edible fungus
Patil (n),"a woman who dresses and behaves like a man, a tomboy"
Patkhui (n),a non-edible fruit bearing plant the fruit of which is use by women to smoothen cotton yarn
Patling (n),"a full grown male, to arrive at the age of puberty, to be of age"
Patrok (n),a variety of non-edible mushroom with unbearable pungent smell
Patsai (v),to wind cotton
Patsaina (n),a bow-shaped cotton winder
Patsum (n),the cut off piece of a warp of a woven cloth
Patta (n),a Hindi originated term for land document issued by government
Pattui (n),spun cotton on the spindle
Patza (n),flax
Patzai (n),cotton thread
Pauithin (n),name of a variety of edible mushroom
Pautu (n),a sub clan under Hmar Lawitlang Sungte
Pavanglai (n),a middle aged married man
Paw (v),"to come up to, to reach"
Pawhleu (n),the outside cover
Pawi (v),the seed of a creeper which is used as play thing for children
Pawi (adv),"to have a bad name, to spoil one’s reputation"
Pawi (n),the Lai tribe
Pawi (adj),"regretful, pitiful (v), to be regretful"
Pawi inkap (n),children’s play using ‘pawi’
Pawi tawk (v),"to do harm, to hurt someone, to do mischievous, to harm"
Pawi tawk lo (adj),"harmless, innocent"
Pawibawmchawi (n),a type of traditional Hmar marriage almost similar to child marriage (see also ‘chongmolak’)
Pawimaw (adj),important
Pawk (adj),soft
Pawl (n),"straw; class, team, associate, denomination, party, company"
Pawl (v),"to mix with; to have sexual intercourse with, to copulate"
Pawl (adj),"a group, a flock, a herd, a pair, a species, a kind; blue, blue colour"
Pawl del ruo (n),the rain which falls soon after or during harvest (November-December)
Pawl inhoi (adj),pleasant to associate with
Pawl khawng (v),"to search for the left behinds of a harvest, to glean on the finished harvests"
Pawl ngei (v),"to be friendly with, to have a good rapport with"
Pawl ser (v),to ostracize
Pawl tlak lai (adj),the time between the harvest and the cold weather
Pawlawt (v),to wear or put on commonly
Pawlitiks (n),politics
Pawlpui (n),"the main party, the biggest of the group"
Pawm (v),"to embrace, to take hold of, to accept, to obey, to give heed to"
Pawm hlum (v),to hold or be with till death but refer to tend to someone (parents) till death
Pawm tlei (v),to nurse and bring up (a child)
Pawmpui (v),to agree with
Pawn (adj),not thick anymore
Pawng (v),"higher in one place than another, swollen, uneven"
Pawng (adj),"by force, without paying for (placed before the verb, eg. Pawngsuol = rape, pawng lak = taken by force)"
Pawng aw ziel dum (n),name of children’s play in the evening wherein they hold each other on the back and play
Pawngnek (v),"to act violently, to be arrogant"
Pawngpaw (adv),be sheer force
Pawngpawrawl (n),the name of a small variety of gourd used as a flask for carrying ‘tibur tui’
Pawngsuol (n),rape
Pawnlang (adj),"that which is in the open, not hidden, or in the interior"
Pâwnthaw (adj),"diligent, having no hesitation on any job at hand, serious and painstaking in in one’s work"
Pawp (adj),"having a hole, perforated"
Pawr (adj),"unkempt, rough, muddy"
Pawr (adj),speak out with a harsh and husked voice
Pawrche (adj),untidy
Pawt (v),"to pull, to drag"
Pawt (n),a Meitei originated term for measurement for paddy equivalent to 2 ‘sangphai’ and approximately 40 kilogram
Pawt (v),making unnecessary sound
Pawt chat (v),"to pull and break (a thread, wire)"
Pawt fan (v),"to pull and stretch (an elastic, a rubber)"
Pawt phur (v),to carry someone else’ items for money
Pawt phurmi (n),"a carrier, a porter, a coolie"
Pawt sie (v),to destroy by pulling (a paper)
Pawt thler (v),"to tear, to split, to rip up (a cloth, etc)"
Pazamte (n),a Hmar Khawbung sub clan
Pe (v),give
Pehel (n),to beat about a bush
Pei (v),"to throw away, to minus, to subtract"
Pei (adj),"ready, to be ready"
Pei (v),"to have the will, to be willing"
Pei (adv),"continuously, right on, one after another"
Pei naw (v),"sick, to be sick or unwell"
Peihawn (v),"to throw away, to discard"
Peipung (v),"to increase or gain (money), to sell at a profit"
Pêk (v),"to give, to offer"
Pek (adv),doing something on behalf of someone else
Pek sawng (v),"to pass on, to hand over"
Pekkir (v),"to give back, to return"
Peksa chang (n),a separation or divorce by mutual consent between husband and wife (the husband would not re-claim the bride price he had paid nor the wife would demand ‘man thrungpha’
Pel (v),"to pass, to pass by, through or out"
Pél (v),hunting of animal
Peleu (n),"a swallow, a house martin"
Pelh (v),"to slip away, to escape"
Pelsol (v),dislocated
Pelte (n),the name of a fruit bearing plant
Pêm (v),to migrate from one place or village to another
Pêmthar (n),a new migrant in a village or locality
Pen (n),pen
Pên (v),"to step, to stride, to pace, a step, a stride, a pace"
Pen (v),"to fillip using the fingers, to strike using only the fingers (in carom games)"
Pêng (v),"to turn (to the right or left when walking, etc), (n) a road crossing, a road junction"
Peng (n),a branch
Pengna (n),"the place where roads, etc, meet, a branch road, an offshoot"
Pengpelep (n),"a butterfly, a moth"
Penguin (n),name of bird
Pensil (n),pencil
Penson (n),pension
Pentikos (n),Pentecost
